,vtec_mean,vtec_std,vtec_min,vtec_max,n_maps
2015-10-01 00:00:00+00:00,11.555622399999997,,11.555622399999997,11.555622399999997,1
2015-10-01 00:30:00+00:00,,,,,0
2015-10-01 01:00:00+00:00,9.746163199999998,,9.746163199999998,9.746163199999998,1
2015-10-01 01:30:00+00:00,,,,,0
2015-10-01 02:00:00+00:00,9.1013632,,9.1013632,9.1013632,1
2015-10-01 02:30:00+00:00,,,,,0
2015-10-01 03:00:00+00:00,8.849222399999999,,8.849222399999999,8.849222399999999,1
2015-10-01 03:30:00+00:00,,,,,0
2015-10-01 04:00:00+00:00,8.103481599999999,,8.103481599999999,8.103481599999999,1
2015-10-01 04:30:00+00:00,,,,,0
2015-10-01 05:00:00+00:00,7.2161408,,7.2161408,7.2161408,1
2015-10-01 05:30:00+00:00,,,,,0
2015-10-01 06:00:00+00:00,7.2098816,,7.2098816,7.2098816,1
2015-10-01 06:30:00+00:00,,,,,0
2015-10-01 07:00:00+00:00,12.420000000000002,,12.420000000000002,12.420000000000002,1
2015-10-01 07:30:00+00:00,,,,,0
2015-10-01 08:00:00+00:00,16.841600000000003,,16.841600000000003,16.841600000000003,1
2015-10-01 08:30:00+00:00,,,,,0
2015-10-01 09:00:00+00:00,20.2107776,,20.2107776,20.2107776,1
2015-10-01 09:30:00+00:00,,,,,0
2015-10-01 10:00:00+00:00,23.206118399999994,,23.206118399999994,23.206118399999994,1
2015-10-01 10:30:00+00:00,,,,,0
2015-10-01 11:00:00+00:00,29.253695999999994,,29.253695999999994,29.253695999999994,1
2015-10-01 11:30:00+00:00,,,,,0
2015-10-01 12:00:00+00:00,39.2518592,,39.2518592,39.2518592,1
2015-10-01 12:30:00+00:00,,,,,0
2015-10-01 13:00:00+00:00,41.990022399999994,,41.990022399999994,41.990022399999994,1
2015-10-01 13:30:00+00:00,,,,,0
2015-10-01 14:00:00+00:00,39.28828159999999,,39.28828159999999,39.28828159999999,1
2015-10-01 14:30:00+00:00,,,,,0
2015-10-01 15:00:00+00:00,38.78296319999999,,38.78296319999999,38.78296319999999,1
2015-10-01 15:30:00+00:00,,,,,0
2015-10-01 16:00:00+00:00,38.71260799999999,,38.71260799999999,38.71260799999999,1
2015-10-01 16:30:00+00:00,,,,,0
2015-10-01 17:00:00+00:00,36.69806719999999,,36.69806719999999,36.69806719999999,1
2015-10-01 17:30:00+00:00,,,,,0
2015-10-01 18:00:00+00:00,35.52084479999999,,35.52084479999999,35.52084479999999,1
2015-10-01 18:30:00+00:00,,,,,0
2015-10-01 19:00:00+00:00,30.539948799999994,,30.539948799999994,30.539948799999994,1
2015-10-01 19:30:00+00:00,,,,,0
2015-10-01 20:00:00+00:00,24.109548799999992,,24.109548799999992,24.109548799999992,1
2015-10-01 20:30:00+00:00,,,,,0
2015-10-01 21:00:00+00:00,19.314585599999997,,19.314585599999997,19.314585599999997,1
2015-10-01 21:30:00+00:00,,,,,0
2015-10-01 22:00:00+00:00,16.215622399999997,,16.215622399999997,16.215622399999997,1
2015-10-01 22:30:00+00:00,,,,,0
2015-10-01 23:00:00+00:00,15.2673408,,15.2673408,15.2673408,1
2015-10-01 23:30:00+00:00,,,,,0
2015-10-02 00:00:00+00:00,15.453599999999998,,15.453599999999998,15.453599999999998,1
2015-10-02 00:30:00+00:00,,,,,0
2015-10-02 01:00:00+00:00,14.4281408,,14.4281408,14.4281408,1
2015-10-02 01:30:00+00:00,,,,,0
2015-10-02 02:00:00+00:00,12.3712,,12.3712,12.3712,1
2015-10-02 02:30:00+00:00,,,,,0
2015-10-02 03:00:00+00:00,11.184659200000002,,11.184659200000002,11.184659200000002,1
2015-10-02 03:30:00+00:00,,,,,0
2015-10-02 04:00:00+00:00,10.3753408,,10.3753408,10.3753408,1
2015-10-02 04:30:00+00:00,,,,,0
2015-10-02 05:00:00+00:00,9.6850816,,9.6850816,9.6850816,1
